Snow #FFFAFA
GhostWhite #F8F8FF
WhiteSmoke #F5F5F5
Gainsboro #DCDCDC
FloralWhite #FFFAF0
OldLace #FDF5E6
Linen #FAF0E6
AntiqueWhite #FAEBD7
PapayaWhip #FFEFD5
BlanchedAlmond #FFEBCD
Bisque #FFE4C4
PeachPuff #FFDAB9
NavajoWhite #FFDEAD
Moccasin #FFE4B5
Cornsilk #FFF8DC
Ivory #FFFFF0
LemonChiffon #FFFACD
Seashell #FFF5EE
Honeydew #F0FFF0
MintCream #F5FFFA
Azure #F0FFFF
AliceBlue #F0F8FF
lavender #E6E6FA
LavenderBlush #FFF0F5
MistyRose #FFE4E1
White #FFFFFF
Black #000000
DarkSlateGray #2F4F4F
DimGrey #696969
SlateGrey #708090
LightSlateGray #778899
Grey #BEBEBE
LightGray #D3D3D3
MidnightBlue #191970
NavyBlue #000080
CornflowerBlue #6495ED
DarkSlateBlue #483D8B
SlateBlue #6A5ACD
MediumSlateBlue #7B68EE
LightSlateBlue #8470FF
MediumBlue #0000CD
RoyalBlue #4169E1
Blue #0000FF
DodgerBlue #1E90FF
DeepSkyBlue #00BFFF
SkyBlue #87CEEB
LightSkyBlue #87CEFA
SteelBlue #4682B4
LightSteelBlue #B0C4DE
LightBlue #ADD8E6
PowderBlue #B0E0E6
PaleTurquoise #AFEEEE
DarkTurquoise #00CED1
MediumTurquoise #48D1CC
Turquoise #40E0D0
Cyan #00FFFF
LightCyan #E0FFFF
CadetBlue #5F9EA0
MediumAquamarine #66CDAA
Aquamarine #7FFFD4
DarkGreen #006400
DarkOliveGreen #556B2F
DarkSeaGreen #8FBC8F
SeaGreen #2E8B57
MediumSeaGreen #3CB371
LightSeaGreen #20B2AA
PaleGreen #98FB98
SpringGreen #00FF7F
LawnGreen #7CFC00
Green #00FF00
Chartreuse #7FFF00
MedSpringGreen #00FA9A
GreenYellow #ADFF2F
LimeGreen #32CD32
YellowGreen #9ACD32
ForestGreen #228B22
OliveDrab #6B8E23
DarkKhaki #BDB76B
PaleGoldenrod #EEE8AA
LtGoldenrodYello #FAFAD2
LightYellow #FFFFE0
Yellow #FFFF00
Gold #FFD700
LightGoldenrod #EEDD82
goldenrod #DAA520
DarkGoldenrod #B8860B
RosyBrown #BC8F8F
IndianRed #CD5C5C
SaddleBrown #8B4513
Sienna #A0522D
Peru #CD853F
Burlywood #DEB887
Beige #F5F5DC
Wheat #F5DEB3
SandyBrown #F4A460
Tan #D2B48C
Chocolate #D2691E
Firebrick #B22222
Brown #A52A2A
DarkSalmon #E9967A
Salmon #FA8072
LightSalmon #FFA07A
Orange #FFA500
DarkOrange #FF8C00
Coral #FF7F50
LightCoral #F08080
Tomato #FF6347
OrangeRed #FF4500
Red #FF0000
HotPink #FF69B4
DeepPink #FF1493
Pink #FFC0CB
LightPink #FFB6C1
PaleVioletRed #DB7093
Maroon #B03060
MediumVioletRed #C71585
VioletRed #D02090
Magenta #FF00FF
Violet #EE82EE
Plum #DDA0DD
Orchid #DA70D6
MediumOrchid #BA55D3
DarkOrchid #9932CC
DarkViolet #9400D3
BlueViolet #8A2BE2
Purple #A020F0
MediumPurple #9370DB
Thistle #D8BFD8
DarkGrey #A9A9A9
DarkBlue #00008B
DarkCyan #008B8B
DarkMagenta #8B008B
DarkRed #8B0000
LightGreen #90EE90
